preco,detalhes.Condomínio:,classe
1.5e+06,1060,1
1.5e+06,250,1
1.5e+06,480,1
1.5e+06,1300,1
1.5e+06,3580,1
1.5e+06,1800,1
1.5e+06,1350,1
1.5e+06,300,1
1.5e+06,1950,1
1.5e+06,400,1
1.5e+06,750,1
1.5e+06,500,1
1.511614e+06,590,1
1.52e+06,1320,1
1.53e+06,460,1
1.55e+06,6590,1
1.55e+06,850,1
1.55e+06,400,1
1.55e+06,789,1
1.55e+06,600,1
1.58e+06,425,1
1.58e+06,906,1
1.59e+06,2000,1
1.59e+06,380,1
1.59e+06,850,1
1.595e+06,605,1
1.6e+06,4900,1
1.6e+06,1850,1
1.6e+06,1000,1
1.6e+06,300,1
1.6e+06,2850,1
1.6e+06,340,1
1.6e+06,897,1
1.6e+06,1650,1
1.6e+06,2653,1
1.6e+06,550,1
1.6e+06,1313,1
1.6e+06,1850,1
1.6e+06,600,1
1.6e+06,1100,1
1.6e+06,2100,1
1.6e+06,600,1
1.6e+06,2000,1
1.6e+06,900,1
1.6e+06,500,1
1.61e+06,1000,1
1.62e+06,2500,1
1.64e+06,1100,1
1.645e+06,759,1
1.65e+06,800,1
1.65e+06,1100,1
1.65e+06,250,1
1.65e+06,980,1
1.65e+06,1958,1
1.65e+06,430,1
1.65e+06,730,1
1.65e+06,954,1
1.673985e+06,850,1
1.68e+06,900,1
1.68e+06,720,1
1.69e+06,3142,1
1.69e+06,550,1
1.69e+06,770,1
1.69e+06,550,1
1.7e+06,1000,1
1.7e+06,2600,1
1.7e+06,500,1
1.7e+06,380,1
1.7e+06,609,1
1.7e+06,1500,1
1.7e+06,1050,1
1.7e+06,2852,1
1.73e+06,550,1
1.75e+06,1800,1
1.75e+06,450,1
1.75e+06,1500,1
1.75e+06,855,1
1.79e+06,1000,1
1.8e+06,3500,1
1.8e+06,490,1
1.8e+06,1460,1
1.8e+06,500,1
1.8e+06,2800,1
1.8e+06,1300,1
1.81e+06,1650,1
1.85e+06,1231,1
1.85e+06,6000,1
1.85e+06,1400,1
1.85e+06,1100,1
1.85e+06,400,1
1.855e+06,530,1
1.88e+06,270,1
1.89e+06,1500,1
1.897e+06,250,1
1.898e+06,1350,1
1.9e+06,560,1
1.9e+06,843,1
1.9e+06,2700,1
1.9e+06,471,1
1.9e+06,460,1
1.9e+06,720,1
1.9e+06,350,1
1.9e+06,350,1
1.94e+06,2490,1
1.95e+06,456,1
1.95e+06,400,1
1.97e+06,1700,1
1.98e+06,1500,1
2e+06,3000,1
2e+06,650,1
2e+06,500,1
2e+06,3116,1
2e+06,1700,1
2e+06,450,1
2e+06,650,1
2e+06,1000,1
2e+06,1757,1
2e+06,985,1
2e+06,350,1
2.05e+06,1513,1
2.08e+06,1300,1
2.09e+06,650,1
2.1e+06,2200,1
2.1e+06,600,1
2.1e+06,1957,1
2.1e+06,400,1
2.1e+06,1400,1
2.1e+06,700,1
2.1e+06,1700,1
2.128e+06,1500,1
2.13e+06,1700,1
2.15e+06,1750,1
2.15e+06,1079,1
2.2e+06,2875,1
2.2e+06,815,1
2.2e+06,350,1
2.2e+06,1900,1
2.2e+06,3000,1
2.2e+06,500,1
2.2e+06,780,1
2.2e+06,650,1
2.2e+06,1400,1
2.24e+06,1,1
2.25e+06,1750,1
2.27e+06,1,1
2.285e+06,2500,1
2.3e+06,1395,1
2.3e+06,300,1
2.3e+06,4700,1
2.3e+06,1,1
2.3e+06,750,1
2.3e+06,1500,1
2.3e+06,800,1
2.3e+06,1801,1
2.3e+06,2500,1
2.3e+06,2950,1
2.37e+06,2400,1
2.38e+06,1,1
2.38e+06,2000,1
2.39e+06,4500,1
2.39e+06,1000,1
2.396e+06,2630,1
2.4e+06,1230,1
2.4e+06,3000,1
2.4e+06,700,1
2.4327e+06,670,1
2.45e+06,2882,1
2.45e+06,829,1
2.45e+06,900,1
2.47e+06,1,1
2.49e+06,5000,1
2.5e+06,1500,1
2.5e+06,1900,1
2.5e+06,680,1
2.5e+06,1146,1
2.51e+06,1200,1
2.51e+06,1200,1
2.521e+06,1800,1
2.55e+06,1957,1
2.6e+06,595,1
2.6e+06,1800,1
2.65e+06,2300,1
2.7e+06,1900,1
2.7e+06,1300,1
2.7e+06,850,1
2.7e+06,1000,1
2.7e+06,2100,1
2.79e+06,3442,1
2.8e+06,2180,1
2.8e+06,900,1
2.8e+06,445,1
2.8e+06,640,1
2.8e+06,2300,1
2.8e+06,1400,1
2.8e+06,3200,1
2.8e+06,1384,1
2.8e+06,1107,1
2.8023e+06,1000,1
2.8023e+06,1000,1
2.8023e+06,1000,1
2.84e+06,1000,1
2.85e+06,1300,1
2.857e+06,3000,1
2.9e+06,626,1
2.9e+06,1482,1
2.95e+06,4315,1
2.979e+06,1897,1
2.9868e+06,1900,1
3e+06,1,1
3e+06,380,1
3e+06,2500,1
3.06716e+06,1595,1
3.09e+06,2877,1
3.1e+06,2660,1
3.15e+06,6390,1
3.15006e+06,1500,1
3.2e+06,3000,1
3.2e+06,3600,1
3.2e+06,950,1
3.3e+06,498,1
3.3e+06,6200,1
3.3e+06,2877,1
3.45e+06,3200,1
3.46497e+06,1500,1
3.472e+06,3278,1
3.5e+06,6200,1
3.5e+06,6200,1
3.5e+06,5000,1
3.5e+06,6200,1
3.5e+06,781,1
3.65e+06,4033,1
3.8e+06,2000,1
3.85e+06,1100,1
3.98e+06,2700,1
4e+06,730,1
4e+06,780,1
4e+06,4000,1
4.15e+06,3900,1
4.25e+06,1740,1
4.4e+06,3000,1
4.45e+06,5200,1
